channel,sample_type,mean_cells_per_ml,sd_cells_per_ml,n_replicates,sample_id
1,ABB,66396330.0,715977.4518795973,3,ch1_ABB
1,BBB,230313416.66666666,8148830.668926238,3,ch1_BBB
1,MC,22582560.0,405775.57137535734,3,ch1_MC
3,ABB,13136456.666666666,133299.7289319564,3,ch3_ABB
3,BBB,258675083.33333334,6632018.4631704325,3,ch3_BBB
3,MC,21306285.0,193648.87664275256,3,ch3_MC
4,BBB,376292583.3333333,4045493.3362116874,3,ch4_BBB
4,MC,23098075.0,159140.112086799,3,ch4_MC
4,ABB,23059703.333333332,981201.2845656744,3,ch4_ABB
5,ABB,6286280.0,596162.5237298964,3,ch5_ABB
5,BBB,493075916.6666667,25486624.39929686,3,ch5_BBB
5,MC,35368666.666666664,824555.0791386445,3,ch5_MC
7,ABB,8014673.333333333,155504.41837238314,3,ch7_ABB
7,BBB,395144750.0,6316024.446794043,3,ch7_BBB
7,MC,31528163.333333332,418159.68780877587,3,ch7_MC
8,BBB,417166750.0,4688432.247297556,3,ch8_BBB
8,ABB,6199526.666666667,240309.50383481162,3,ch8_ABB
8,MC,29332636.666666668,146462.18422628136,3,ch8_MC
