channel,sample_type,mean_cells_per_ml,sd_cells_per_ml,n_replicates,sample_id,counts_per_ml_million
1,ABB,66396330.0,715977.4518795973,3,ch1_ABB,66.39633
1,BBB,230313416.66666666,8148830.668926238,3,ch1_BBB,230.31341666666665
3,ABB,13136456.666666666,133299.7289319564,3,ch3_ABB,13.136456666666666
3,BBB,258675083.33333334,6632018.4631704325,3,ch3_BBB,258.67508333333336
4,BBB,376292583.3333333,4045493.3362116874,3,ch4_BBB,376.2925833333333
4,ABB,23059703.333333332,981201.2845656744,3,ch4_ABB,23.05970333333333
5,ABB,6286280.0,596162.5237298964,3,ch5_ABB,6.28628
5,BBB,493075916.6666667,25486624.39929686,3,ch5_BBB,493.07591666666667
7,ABB,8014673.333333333,155504.41837238314,3,ch7_ABB,8.014673333333333
7,BBB,395144750.0,6316024.446794043,3,ch7_BBB,395.14475
8,BBB,417166750.0,4688432.247297556,3,ch8_BBB,417.16675
8,ABB,6199526.666666667,240309.50383481162,3,ch8_ABB,6.199526666666667
