sample_id,channel,replicate,dilution_replicate,Ct,dilution_factor,sample_class,template_vol,final_vol,log10_dna_fragments_in_well_per_ul,dna_fragments_in_well_per_ul,dna_fragments_in_diluted_extract_per_ul,dna_fragments_in_original_extract_per_ul
200206_0_4,4.0,1,1.0,15,10,sample,5,20,4.000035894654626,10000.826539123073,40003.30615649229,400033.0615649229
200206_0_4,4.0,1,2.0,18,100,sample,5,20,3.0968100882030134,1249.7124263763694,4998.849705505478,499884.97055054776
200206_0_4,4.0,1,3.0,21,1000,sample,5,20,2.1935842817514,156.16520719860986,624.6608287944395,624660.8287944394
200206_0_4,4.0,2,1.0,15,10,sample,5,20,4.000035894654626,10000.826539123073,40003.30615649229,400033.0615649229
200206_0_4,4.0,2,2.0,18,100,sample,5,20,3.0968100882030134,1249.7124263763694,4998.849705505478,499884.97055054776
200206_0_4,4.0,2,3.0,21,1000,sample,5,20,2.1935842817514,156.16520719860986,624.6608287944395,624660.8287944394
200206_2_5,7.0,1,1.0,13,10,sample,5,20,4.602186432289035,40011.64733831143,160046.5893532457,1600465.893532457
200206_2_5,7.0,1,2.0,17,100,sample,5,20,3.397885357020218,2499.6854195968576,9998.74167838743,999874.1678387431
200206_2_5,7.0,1,3.0,19,1000,sample,5,20,2.795734819385809,624.7910782675176,2499.1643130700704,2499164.3130700705
200206_2_5,7.0,2,1.0,13,10,sample,5,20,4.602186432289035,40011.64733831143,160046.5893532457,1600465.893532457
200206_2_5,7.0,2,2.0,16,100,sample,5,20,3.6989606258374224,4999.892027210515,19999.56810884206,1999956.810884206
200206_2_5,7.0,2,3.0,19,1000,sample,5,20,2.795734819385809,624.7910782675176,2499.1643130700704,2499164.3130700705
200206_2_7,5.0,1,1.0,13,10,sample,5,20,4.602186432289035,40011.64733831143,160046.5893532457,1600465.893532457
200206_2_7,5.0,1,2.0,18,100,sample,5,20,3.0968100882030134,1249.7124263763694,4998.849705505478,499884.97055054776
200206_2_7,5.0,1,3.0,20,1000,sample,5,20,2.4946595505686044,312.3629750682525,1249.45190027301,1249451.9002730101
200206_2_7,5.0,2,1.0,12,10,sample,5,20,4.903261701106239,80031.63716282591,320126.54865130363,3201265.4865130363
200206_2_7,5.0,2,2.0,16,100,sample,5,20,3.6989606258374224,4999.892027210515,19999.56810884206,1999956.810884206
200206_2_7,5.0,2,3.0,20,1000,sample,5,20,2.4946595505686044,312.3629750682525,1249.45190027301,1249451.9002730101
200207_0_8,1.0,1,1.0,15,10,sample,5,20,4.000035894654626,10000.826539123073,40003.30615649229,400033.0615649229
200207_0_8,1.0,1,2.0,19,100,sample,5,20,2.795734819385809,624.7910782675176,2499.1643130700704,249916.43130700703
200207_0_8,1.0,1,3.0,22,1000,sample,5,20,1.8925090129341957,78.07446428007667,312.2978571203067,312297.8571203067
200207_0_8,1.0,2,1.0,15,10,sample,5,20,4.000035894654626,10000.826539123073,40003.30615649229,400033.0615649229
200207_0_8,1.0,2,2.0,17,100,sample,5,20,3.397885357020218,2499.6854195968576,9998.74167838743,999874.1678387431
200207_0_8,1.0,2,3.0,21,1000,sample,5,20,2.1935842817514,156.16520719860986,624.6608287944395,624660.8287944394
200207_2_3,3.0,1,1.0,15,10,sample,5,20,4.000035894654626,10000.826539123073,40003.30615649229,400033.0615649229
200207_2_3,3.0,1,2.0,18,100,sample,5,20,3.0968100882030134,1249.7124263763694,4998.849705505478,499884.97055054776
200207_2_3,3.0,1,3.0,22,1000,sample,5,20,1.8925090129341957,78.07446428007667,312.2978571203067,312297.8571203067
200207_2_3,3.0,2,1.0,15,10,sample,5,20,4.000035894654626,10000.826539123073,40003.30615649229,400033.0615649229
200207_2_3,3.0,2,2.0,18,100,sample,5,20,3.0968100882030134,1249.7124263763694,4998.849705505478,499884.97055054776
200207_2_3,3.0,2,3.0,22,1000,sample,5,20,1.8925090129341957,78.07446428007667,312.2978571203067,312297.8571203067
200207_2_6,8.0,1,1.0,13,10,sample,5,20,4.602186432289035,40011.64733831143,160046.5893532457,1600465.893532457
200207_2_6,8.0,1,2.0,16,100,sample,5,20,3.6989606258374224,4999.892027210515,19999.56810884206,1999956.810884206
200207_2_6,8.0,1,3.0,19,1000,sample,5,20,2.795734819385809,624.7910782675176,2499.1643130700704,2499164.3130700705
200207_2_6,8.0,2,1.0,12,10,sample,5,20,4.903261701106239,80031.63716282591,320126.54865130363,3201265.4865130363
200207_2_6,8.0,2,2.0,16,100,sample,5,20,3.6989606258374224,4999.892027210515,19999.56810884206,1999956.810884206
200207_2_6,8.0,2,3.0,19,1000,sample,5,20,2.795734819385809,624.7910782675176,2499.1643130700704,2499164.3130700705
